ID,Car Type,Model,Condition,Color,Capacity,Mileage,Fuel Type,Transmission,VIN,Price,Cars Available
24,Sedan,Ford Fusion,Used,Yellow,5,116012,Gasoline,Automatic,IUM7446VKAMLQK5RL,18830.37,5
25,Pickup,Ford F-150,Used,Silver,5,92664,Diesel,Automatic,8GYU59UQHNJCH6RF4,22272.46,5
26,Hatchback,Toyota Prius,New,Blue,5,1004,Gasoline,Manual,TMVM0ACCVZ7CHHJFJ,30416.16,7
27,Sedan,Ford Fusion,Used,Silver,5,13147,Hybrid,Manual,PKGDM6EAJBHHESCZN,21834.58,3
28,Hatchback,Volkswagen Golf,New,White,5,4199,Hybrid,Manual,B00WMZDAPK7YD9NO2,43488.95,9
29,SUV,Chevrolet Tahoe,New,Red,8,784,Gasoline,Automatic,HPIYT815E1OVZDY1B,24564.37,2
30,SUV,Honda CR-V,Used,Black,5,16621,Gasoline,Automatic,7SUS7PDL2XIWOVGP4,20900.65,2
31,Sedan,Nissan Altima,New,Silver,5,3,Electric,Manual,B2OZX7Y6UIQWU9AOM,41626.99,7
32,SUV,Chevrolet Tahoe,Used,Silver,8,51092,Diesel,Automatic,IYCPZSNFORT4KU3RW,46986.52,4
33,Sedan,Honda Accord,New,Yellow,5,4459,Diesel,Manual,5WRJ8O8ZILI9I7T1M,45272.72,6
34,Hatchback,Honda Fit,New,Yellow,5,332,Electric,Manual,E7P0H7ILFNC4C56Y3,32801.06,4
35,Hatchback,Ford Fiesta,New,Black,5,3097,Diesel,Manual,EFQAKW16S3RPN8K5R,21014.94,2
36,SUV,Honda CR-V,Used,Silver,5,83589,Diesel,Automatic,R0LAU55FFT9ESZSRB,49336.97,10
37,Pickup,Chevrolet Silverado,New,Red,5,1392,Electric,Manual,XFFTR07XHFN1MQ72B,38371.42,8
38,Pickup,Ram 1500,New,Black,5,4790,Diesel,Manual,XWEIJHPFZCHELQE9O,19602.76,8
39,Pickup,Toyota Tacoma,Used,White,5,75075,Hybrid,Manual,2PP67O86G79YLNV5R,46130.53,6
40,Sedan,Honda Accord,Used,Red,5,144427,Electric,Manual,QTKY18EO5LP9NDHWX,30149.35,3
41,Hatchback,Volkswagen Golf,New,Black,5,4865,Gasoline,Automatic,ADM0UTU2X88OSH0I3,33921.89,10
42,Hatchback,Volkswagen Golf,New,Green,5,128,Diesel,Manual,NDX77XQ10OHENR3KI,43730.3,9
43,Sedan,Toyota Camry,New,White,5,2644,Electric,Automatic,Z0URK8CET61BD477S,35914.15,10
44,SUV,Ford Explorer,Used,Yellow,7,48867,Gasoline,Manual,XAFMEYIG8VS9EXROD,36508.15,6
45,Sedan,Toyota Camry,Used,Yellow,5,141606,Hybrid,Automatic,TZAEYQH6GBNP1EXC6,40220.72,10
46,Hatchback,Toyota Prius,Used,White,5,89848,Electric,Automatic,15ZP0CGWJ896C7KFC,16398.43,2
47,Pickup,Ford F-150,Used,Yellow,5,130946,Gasoline,Manual,57XSAQ986W9TRNZWH,32247.35,5
48,Pickup,Toyota Tacoma,New,Green,5,4595,Gasoline,Manual,XEJGNMIABZKH92MST,41671.78,6
49,Sedan,Nissan Altima,New,Silver,5,1121,Electric,Automatic,WPZUK56UFPEOMM8KJ,21614.95,4
50,Hatchback,Ford Fiesta,New,Blue,5,4304,Gasoline,Manual,7J8442WWN30L26WY5,18612.18,6
51,SUV,Toyota RAV4,New,White,5,754,Hybrid,Manual,FKDURRUNF92O648NK,42367.11,4
52,Pickup,Ram 1500,Used,Silver,5,136490,Hybrid,Manual,ZS44QYQNE9DYHR3B6,16156.63,7
53,SUV,Honda CR-V,New,Black,5,3218,Diesel,Manual,D66VP3DEHJU87LFTT,48571.86,10
54,Hatchback,Toyota Prius,Used,Yellow,5,141832,Diesel,Automatic,F7QHYCYKC3RPOTHSP,17733.48,7
55,Sedan,Ford Fusion,Used,Green,5,8914,Hybrid,Manual,H7ORZRDE25L9GD8D3,40438.81,9
56,Pickup,Toyota Tacoma,New,White,5,4207,Hybrid,Automatic,4URQ8Q0Q36IVO0C59,48685.85,9
57,Hatchback,Volkswagen Golf,New,Blue,5,349,Electric,Manual,WRCCI30JQ4WFXRGPV,26171.87,5
58,Hatchback,Volkswagen Golf,Used,White,5,63104,Gasoline,Automatic,6T4C75GBOTF2NK613,27960.65,4
59,SUV,Chevrolet Tahoe,Used,Yellow,8,14064,Diesel,Manual,H2KP8DSAYXIDWTJET,17293.0,8
60,Sedan,Honda Accord,New,Black,5,2829,Gasoline,Manual,N4RSGSA65S118D0GV,42187.35,6
61,SUV,Ford Explorer,New,Silver,7,3976,Hybrid,Manual,MRM4TRR6DKYFI7ZGK,42992.0,5
62,SUV,Ford Explorer,New,Silver,7,1597,Electric,Automatic,PM980KEEIVE7BJVZF,33249.68,5
63,Sedan,Honda Accord,New,Yellow,5,434,Diesel,Manual,SFSUA679JJMN1ZZA5,40635.1,8
64,Hatchback,Volkswagen Golf,Used,Yellow,5,44367,Diesel,Manual,BA8J8392BXDNN6R3D,27940.4,3
65,Hatchback,Honda Fit,Used,Green,5,59164,Electric,Automatic,1T6MEA3VL57ODS0Q5,38139.48,3
66,Pickup,Ram 1500,Used,Red,5,139945,Electric,Manual,HKPQE5BI92ASDYTJV,18288.16,7
67,SUV,Toyota RAV4,New,Green,5,2985,Gasoline,Automatic,24YASG1DIS8HXXI87,16987.01,4
68,Pickup,Ram 1500,Used,Black,5,101568,Gasoline,Automatic,9QPIQS2LY95I907MP,31993.05,3
69,Hatchback,Volkswagen Golf,New,Blue,5,2872,Hybrid,Manual,S68U25JKF7MRXASYK,45271.63,8
70,Hatchback,Volkswagen Golf,Used,Yellow,5,89916,Hybrid,Manual,LFJRD3CYDTJEN5PS1,29194.03,3
71,Pickup,Ford F-150,Used,Silver,5,54266,Hybrid,Manual,HRE0AO1H1TIU014PP,45306.97,6
72,Pickup,Chevrolet Silverado,New,Blue,5,3623,Hybrid,Manual,OECB8KPR347OLPAFM,24356.59,6
73,SUV,Ford Explorer,Used,Blue,7,103467,Electric,Manual,FRF0TZKGKZTSBKFBD,47342.94,4
74,Sedan,Nissan Altima,Used,Green,5,21606,Diesel,Automatic,MXZ3OXNHU0JY266LS,32614.83,2
75,Sedan,Honda Accord,Used,Blue,5,149919,Gasoline,Automatic,C34HRWVD798ZNMQGX,40986.15,4
76,Hatchback,Honda Fit,Used,White,5,126862,Hybrid,Manual,3VZMIBO4BY4WZKUAB,41423.52,6
77,Pickup,Ram 1500,Used,Blue,5,142789,Gasoline,Automatic,0DH5YDP8YJVBTYQTA,16957.87,6
78,Sedan,Nissan Altima,New,Silver,5,3213,Diesel,Manual,YIKLWTASI7ASHEX2Q,19029.59,5
79,Pickup,Chevrolet Silverado,Used,Green,5,117641,Diesel,Automatic,N5UAOQDMJQUVIVYFG,38781.99,4
80,Sedan,Honda Accord,Used,Black,5,143320,Hybrid,Manual,HTN8R6H7GQFNVH7GU,44067.17,4
81,Pickup,Toyota Tacoma,Used,Black,5,127799,Electric,Manual,A2CTI9CKW2H04Y5MF,39238.33,10
82,Hatchback,Toyota Prius,Used,Red,5,57548,Gasoline,Manual,IKN8GUTU7JZJWO88S,21740.4,10
83,Hatchback,Honda Fit,New,White,5,1450,Electric,Automatic,OCV90VO9T6IU6R8OM,29023.03,4
84,Pickup,Chevrolet Silverado,Used,Yellow,5,103543,Gasoline,Manual,4SZAZ7OUWH57D095D,40708.04,2
85,Hatchback,Volkswagen Golf,Used,Black,5,33286,Hybrid,Automatic,BSMEA68RHKMZXQ99O,48849.49,8
86,Hatchback,Honda Fit,New,Silver,5,4084,Hybrid,Manual,ZT5X2QC7NQSAZ3KCX,47167.08,3
87,Pickup,Toyota Tacoma,New,Green,5,3072,Diesel,Manual,5MY2OP5L409GNNHF4,28409.33,9
88,SUV,Chevrolet Tahoe,Used,Blue,8,46196,Hybrid,Manual,83FP6BDUTDRG7AWT5,37992.92,2
89,Sedan,Nissan Altima,New,Green,5,2343,Electric,Automatic,CAXQQBCNZ0WYO6VIP,30046.25,3
90,Sedan,Honda Accord,New,Silver,5,1010,Diesel,Manual,ER6BLK3TTPSKZGV0H,18017.86,3
91,SUV,Honda CR-V,New,Green,5,1998,Electric,Automatic,LN1HKKLJADIPEUQWA,47249.85,10
92,Sedan,Ford Fusion,Used,Red,5,2756,Diesel,Manual,O1ZWWNW32ZTKQWPC5,46381.65,6
93,SUV,Ford Explorer,Used,Red,7,114036,Gasoline,Automatic,3ILFPGPXXJ01OD9LW,40089.24,5
94,SUV,Ford Explorer,Used,Black,7,46994,Gasoline,Automatic,Y7DVSVFKV9KAX49HT,36760.17,4
95,Pickup,Chevrolet Silverado,Used,Black,5,40358,Gasoline,Manual,9FITGCQW37DVZBG7T,25013.07,4
96,Pickup,Toyota Tacoma,Used,Red,5,36178,Diesel,Automatic,K0IZ1BWFOHRBTADSG,31446.39,9
97,SUV,Ford Explorer,New,White,7,1482,Hybrid,Manual,KC80RYGURZMRHS08X,46682.9,8
98,Hatchback,Honda Fit,New,White,5,2376,Hybrid,Automatic,X4WP2WEBALSAODGAV,41473.52,10
99,SUV,Chevrolet Tahoe,New,Yellow,8,4049,Hybrid,Automatic,GPJFC981TWNU72B51,33289.25,5
100,Hatchback,Toyota Prius,New,Black,5,3005,Gasoline,Manual,7R8A7T8XAH9BKD0U4,24443.93,3
